Product,# of Reviews,ASIN,Tags,,,,,,,,,,,,,,,,
Logitech Z-2300 THX-Certified 2.1 Speaker System with Subwoofer,1569,B0002SQ2P2,speaker system,sound quality,headphone jack,satellite speakers,sound card,highly recommend,thx certified,midrange,bang for the buck,living room,home theater,altec lansing,,,,,
"Polk Audio PSW10 10"" Powered Subwoofer - Featuring High Current Amp and Low-Pass Filter | Up to 100 Watts | Big Bass at a Great Value | Easy integration Home Theater Systems",6251,B0002KVQBA,polk audio,living room,sounds great,surround sound,bang for the buck,highly recommend,port noise,sound system,great value,subwoofer,entry level,great price,sound quality,,,,
Zalman Zm-Mic1 High Sensitivity Headphone Microphone,3389,B00029MTMQ,sound quality,high sensitivity,headphone cord,stopped working,pair of headphones,get what you pay,front of my mouth,gaming headset,make sure,picks up my ovice,audio quality,high quality,,,,,
"Sony ICF-S10MK2 Pocket AM/FM Radio, Silver",5692,B00020S7XK,great little,pocket radio,battery life,sound quality,good reception,transistor radio,long time,highly recommend,headphone jack,miles away,easy to use,great reception,shirt pocket,power outages,,,
"Snap-N-Store DVD Storage Boxes, Set of 2 Boxes, Each 6"" x 8.25"" x 16.5"" Inches, Holds up to 26 DVDs in Cases, Black (SNS01618)",4076,B00063E2HS,put together,jewel cases,easy to assemble,snap together,easy to put,storage boxes,dvd storage,paper sleeves,way to store,double wide,cds and dvds,gorilla glue,highly recommend,,,,
Sony Earphones- MDREX15LP (Black),1944,B0002D03ZW,earbuds,sound quality,couple months,every 6 months,sound was good,great sound,bass,volume,ears,earbud,earphones,hear,inexpensive,jack,model,broke,cord
Logitech Z-5500 THX-Certified 5.1 Digital Surround Sound Speaker System,907,B0002WPSBC,home theater,surround sound,speaker system,sound quality,sound card,dolby digital,control unit,remote control,make sure,free shipping,sound system,living room,control panel,,,,
"Nikon 7072 Lens Pen Cleaning System, Black",1731,B00006JN3G,lens pen,camera bag,easy to use,clean the lens,lens cleaning,brush end,easy to carry,retractable brush,much better,dust particles,cleaning pad,cleaning tip,highly recommend,,,,
DVI TO HDMI CABLE 6FT MM,1623,B0002CZHN6,dvi to hdmi,video card,great price,computer monitor,hdmi port,graphics card,like a charm,macbook pro,good quality,highly recommend,second monitor,best buy,flat screen,,,,
Panasonic Headphones On-Ear Lightweight with XBS RP-HT21 (Black & Silver),8775,B00004T8R2,sound quality,lightweight,good sound,highly recommend,work well,great price,another pair,pair of headphones,sound good,headphones,stopped working,ear pieces,much better,xbs port,,,
Tiffen 62mm UV Protection Filter,8428,B00004ZCJJ,front element,lens cap,good quality,great price,image quality,fits perfectly,camera lens,expensive lens,high quality,lens protector,get what you pay,highly recommend,lens protection,,,,
Panasonic KX-TCA60 Hands-Free Headset with Comfort Fit Headband for Use with Cordless Phones,5492,B00007M1TZ,sound quality,cordless phone,cell phone,stopped working,kx-tca60 hands-free,highly recommend,home office,much better,around the house,great price,mute button,quality is good,,,,,
"BOSS Audio Systems KIT-ZERO 10 Gauge Wiring Installation Kit for Car Amplifiers - A Car Amplifier Wiring Kit Helps You Make Connections and Brings Power to Your Radio, Subwoofers and Speakers",7811,B0002UPGOI,fuse holder,everything i needed,rca cables,guage wire,job done,good quality,power and ground,power cable,zip ties,ground wire,boss audio,long enough,great price,watt amp,poor quality,,
Philips DVP642 DivX-Certified Progressive-Scan DVD Player,1052,B000204SWE,region free,progressive scan,dvix and xvid,picture quality,dvd players,fast forward,remote control,stopped working,avi files,eject button,highly recommend,pal to ntsc,easy to use,,,,
Nikon SB-600 Speedlight Flash for Nikon Digital SLR Cameras,616,B0002EMY9Y,easy to use,great flash,highly recommend,sb-600 speedlight,built in flash,battery life,digital slr,lighting system,creative lighting,commander mode,bounce flash,much better,,,,,
"Rolodex Mesh Collection Desktop Phone Stand, Black (22151)",1884,B00006IAKJ,laptop stand,macbook pro,well made,highly recommend,eye level,laptop,printer stand,airflow,usb hub,exactly what i needed,ipad mini,metal mesh,keeps my laptop,long time,cord organizer,,
Sony MDR-NC6 Noise Canceling Headphones (Discontinued by Manufacturer),616,B000629GES,noise cancelling,sound quality,noise cancellation,noise reduction,white noise,canceling feature,work well,canceling headphones,background noise,battery compartment,dvd player,ambient noise,,,,,
Giottos AA1900 Rocket Air Blaster Large - Black,5126,B00017LSPI,air blaster,compressed air,camera bag,rocket air,blast of air,giottos rocket,highly recommend,dust particles,rocket air blaster,easy to use,remove dust,job done,well made,make sure,,,
Logitech MX1000 Laser Cordless Mouse,428,B0002UM0JW,battery life,scroll wheel,best mouse,highly recommend,forward and back,back and forward,long time,great mouse,docking station,left and right,base station,laser mouse,,,,,
JBL Duet Speaker System for Portable Music and PC - White (Pair),251,B0000C3GWU,sound quality,volume control,hightly recommend,hard to turn,volume knob,headphone jack,stopped working,control knob,great speakers,stereo system,hold the speaker,small speakers,,,,,
Shure E3c Sound Isolating Earphones,201,B0001NNLHK,sound quality,ear canal,bass response,soudn isolation,make sure,noise cancelling,much better,every penny,yellow foam,worth every,sony mdr-ex,noise reduction,ultimate ears,,,,
"Bayco K-100 Cord Storage Reel w/Stand, PACK, Orange",3122,B0000BYDKO,extension cord,cord reel,heavy duty,lightweight,waste of money,easy to use,male end,every time,much easier,outdoor extension,zip tie,female end,lawn mower,works well,,,
Kensington K62220F Contour 15.4-Inch Notebook Carrying Case,164,B00008MOPJ,lumbar support,wear and tear,zipper pulls,ever owned,years ago,backpack i have ever,cell phone,highly recommended,coming apart,shoulder straps,little bit,everything i need,lower back,great bag,,,
StarTech.com 6 ft. (1.8 m) 3.5mm Audio Cable - 3.5mm Audio Cable - Gold Plated Connectors - Male/Male - Aux Cable (MU6MM),3424,B00066HP7Y,car audio,sound quality,audio cable,good quality,aux jack,aux input,high quality,center console,aux port,phone case,exactly what i needed,perfect length,phone to my car,job done,,,
Rio Cali 128 MB Sport MP3 Player,203,B0000AQIFW,easy to use,sound quality,music manager,battery life,windows media,belt clip,aaa battery,armband,wma files,stopped working,media player,tech support,memory cards,,,,
SanDisk 1 GB MP3 Player Silver,237,B00066EK2W,sound quality,battery life,hard drive,easy to use,voice recorder,drag and drop,ipod shuffle,aaa battery,highly recommend,armband,usb drive,little player,small and light,flash memory,,,
Logitech Trackman Wheel Optical (Silver),1016,B00005NIMJ,carpal tunnel,scroll wheel,trackball,wheel optical,regular mouse,wireless version,trackman marble,pointing device,getting used,easy to use,wrist pain,mouse ever,highly recommend,much easier,,,
Apricorn EZ-Upgrade SATA Notebook Hard Drive Upgrade Kit with USB 2.0 Connection and Enclosure EZ-UP-UNIVERSAL,293,B00009WQS1,hard drive,new drive,upgrade kit,tech support,old drive,media direct,easy to use,western digital,new hard,old hard,drive enclosure,make sure,like a charm,worked perfectly,,,
Magellan RoadMate 700 3-Inch Portable GPS Navigator,192,B0000DJEK7,windshield mount,touch screen,tech support,easy to use,voice prompts,hard drive,address book,suction cup,external antenna,works well,much better,stopped working,,,,,
Escort Passport 8500 X50 Radar and Laser Detector (Red Display),265,B00028D778,radar detector,service required,speed limit,suction cups,mute button,smart cord,law enforcement,years ago,highly recommend,many times,worth the money,required message,,,,,
Sony MDR-EX71SL/WK Fontopia Headphones (White) (Discontinued by Manufacturer),295,B00030CHRQ,sound quality,extension cord,great sound,much better,outside noise,left ear,sound great,good sound,ipod headphones,around your neck,bass response,short cord,behind your neck,,,,
Sony BCG-34HRMF4 Battery Charger with LCD Display and 4 AA Ni-MH Rechargeable Batteries (Discontinued by Manufacturer),379,B0002IOIMQ,refresh function,bcg-34hrmf,lcd display,fully charged,super quick,rechargeable batteries,battery charger,fully charge,mah batteries,refresh feature,refresh button,battery life,sanyo eneloop,,,,
Tabletote Black Portable Compact Lightweight Adjustable Height Laptop Notebook Computer Stand Table,859,B0001EMA80,lightweight,put together,document holder,easy to assemble,portable table,sturdy enough,tabletote,tabletop,highly recommend,works great,recommend to anyone,waste of money,,,,,
Koss UR40 Collapsible Over-Ear Headphones,472,B00006JILE,sound quality,lightweight,lifetime warranty,open back,sound good,much better,high end,comfortable to wear,ear pads,pair of headphones,price range,great sound,second pair,last long,,,
Canon EF-S 17-85mm f/4-5.6 Image Stabilized USM SLR Lens for EOS Digital SLR's - White Box (Bulk Packaging),280,B0002Y5WXO,wide angle,image stabilization,low light,focal length,zoom range,chromatic aberration,wide end,rebel xti,depth of field,image stabilizer,image quality,build quality,great lens,,,,
"Snap-N-Store CD Storage Box, 13.25"" x 5.125"" x 5.125"", Holds up to 165 CDs, Black (SNS01521)",4090,B00062UW5A,put together,jewel cases,easy to assemble,snap together,easy to put,storage boxes,dvd storage,paper sleeves,way to store,double wide,dcs and dvds,gorilla glue,highly recommend,,,,
Canon EF 85mm f/1.8 USM Medium Telephoto Lens for Canon SLR Cameras - Fixed,1283,B00007GQLU,focal length,wide open,full frame,image quality,depth of field,great lens,highly recommend,autofocus,purple fringing,chromatic aberration,build quality,shallow depth,background blur,,,,
Canon PowerShot S100 2MP Digital ELPH Camera Kit with 2x Optical Zoom,172,B00004TS16,easy to use,memory card,extra battery,flash card,battery life,digital cameras,compact flash,point and shoot,digital elph,picture quality,image quality,card reader,take it everywhere,,,,
RioVolt SP250 Portable MP3-CD Player with FM Tuner and 8 Minutes Anti-Skip,194,B00005QXWI,sound quality,battery life,rechargeable batteries,shock protection,car kit,rechargable batteries,remote control,best player,lcd display,tech support,easy to use,portable cd player,wma files,,,,
Sennheiser HD 650 Open Back Professional Headphone,1513,B00018MSNI,headphone amp,sound quality,high end,open back,soundstage,headphones i have ever,pair of headphones,build quality,highly recommend,never heard,high quality,frequency response,,,,,
